id,gemeinde_name,gemeinde_kennzahl,gemeinde_code,eligible_voters,votes,valid,invalid,ts,spoe_nrw13,oevp_nrw13,fpoe_nrw13,gruene_nrw13,bzoe_nrw13,neos_nrw13,stronach_nrw13,wandel_nrw13,pirat_nrw13,kpoe_nrw13,slp_nrw13,euaus_nrw13,cpoe_nrw13
1,Pamhagen,10716,10716,None,1069,1042,27,2013-09-28 22:00:00+00:00,365,408,163,22,19,19,34,None,5,2,None,None,None
2,Luftenberg an der Donau,41110,41110,None,2355,2313,42,2013-09-28 22:00:00+00:00,917,370,484,242,75,66,108,None,21,19,None,None,None
3,Hofamt Priel,31511,31511,None,1075,1046,29,2013-09-28 22:00:00+00:00,312,394,162,86,25,23,37,None,5,2,None,None,None
4,Sibratsgfäll,80237,80237,None,235,229,6,2013-09-28 22:00:00+00:00,6,160,27,12,2,10,6,None,2,0,None,None,None
5,Unterach am Attersee,41745,41745,None,731,721,10,2013-09-28 22:00:00+00:00,203,227,115,78,26,34,31,None,4,1,None,None,None
6,Wolfsberg,20923,20923,None,13570,13293,277,2013-09-28 22:00:00+00:00,4820,1700,2896,1082,1372,342,929,None,89,63,None,None,None
7,Raasdorf,30849,30849,None,308,307,1,2013-09-28 22:00:00+00:00,94,121,51,12,3,9,10,None,3,4,None,None,None
8,Losenstein,41509,41509,None,933,918,15,2013-09-28 22:00:00+00:00,293,231,186,80,39,36,43,None,4,6,None,None,None
9,Taufkirchen an der Pram,41426,41426,None,1602,1542,60,2013-09-28 22:00:00+00:00,404,440,409,106,46,19,89,None,19,2,None,None,None
10,Reichersberg,41224,41224,None,791,769,22,2013-09-28 22:00:00+00:00,131,250,220,56,42,30,28,None,3,4,None,None,None
11,Oetz,70214,70214,None,1059,1037,22,2013-09-28 22:00:00+00:00,146,418,181,121,35,59,65,None,8,4,None,None,None
12,Schalchen,40441,40441,None,1869,1825,44,2013-09-28 22:00:00+00:00,523,402,499,175,70,37,96,None,11,8,None,None,None
13,Kukmirn,10408,10408,None,1232,1202,30,2013-09-28 22:00:00+00:00,375,342,195,62,40,34,143,None,4,6,None,None,None
14,Andelsbuch,80202,80202,None,1078,1057,21,2013-09-28 22:00:00+00:00,56,514,136,177,17,106,40,None,3,1,None,None,None
15,Wartberg ob der Aist,40624,40624,None,2557,2481,76,2013-09-28 22:00:00+00:00,805,521,484,325,120,74,106,None,18,18,None,None,None
16,Zillingdorf,32338,32338,None,1227,1201,26,2013-09-28 22:00:00+00:00,456,237,290,85,33,32,55,None,8,5,None,None,None
17,Ludweis-Aigen,32212,32212,None,579,557,22,2013-09-28 22:00:00+00:00,112,303,69,36,5,10,13,None,7,2,None,None,None
18,Traismauer,31943,31943,None,3383,3288,95,2013-09-28 22:00:00+00:00,1229,745,664,292,63,120,136,None,19,20,None,None,None
19,Finkenberg,70908,70908,None,693,680,13,2013-09-28 22:00:00+00:00,116,290,119,63,20,15,53,None,3,1,None,None,None
20,Bruck an der Leitha,30704,30704,None,4114,4022,92,2013-09-28 22:00:00+00:00,1469,806,850,385,85,174,197,None,25,31,None,None,None
21,Höchst,80217,80217,None,2883,2851,32,2013-09-28 22:00:00+00:00,297,792,651,440,81,332,201,None,20,9,None,None,None
22,Fels am Wagram,32106,32106,None,1282,1254,28,2013-09-28 22:00:00+00:00,377,388,266,76,38,44,56,None,4,5,None,None,None
23,Perchtoldsdorf,31719,31719,None,8121,7973,148,2013-09-28 22:00:00+00:00,1440,2430,1140,1209,240,1008,366,None,73,67,None,None,None
24,Grein,41105,41105,None,1681,1625,56,2013-09-28 22:00:00+00:00,533,452,320,152,44,35,68,None,8,3,None,None,None
25,Roßleithen,40915,40915,None,1074,1055,19,2013-09-28 22:00:00+00:00,314,284,228,69,37,32,71,None,4,2,None,None,None
26,Liebenau,40611,40611,None,1044,1012,32,2013-09-28 22:00:00+00:00,269,426,171,38,26,17,39,None,8,10,None,None,None
27,Kaunertal,70611,70611,None,309,301,8,2013-09-28 22:00:00+00:00,29,194,23,31,5,9,7,None,3,0,None,None,None
28,Waidhofen an der Thaya-Land,32221,32221,None,737,720,17,2013-09-28 22:00:00+00:00,108,338,141,49,25,19,36,None,3,1,None,None,None
29,St. Jakob im Rosental,20722,20722,None,2352,2305,47,2013-09-28 22:00:00+00:00,1032,205,342,275,184,62,170,None,19,16,None,None,None
30,Stronsdorf,31650,31650,None,1105,1079,26,2013-09-28 22:00:00+00:00,154,554,229,41,18,31,41,None,9,2,None,None,None
31,Sankt Oswald bei Plankenwarth,60641,60641,None,683,675,8,2013-09-28 22:00:00+00:00,210,123,156,63,15,29,67,None,2,10,None,None,None
32,Pfaffenhofen,70340,70340,None,463,458,5,2013-09-28 22:00:00+00:00,117,117,72,85,10,22,27,None,2,6,None,None,None
33,Göriach,50501,50501,None,231,229,2,2013-09-28 22:00:00+00:00,51,103,46,14,4,5,6,None,0,0,None,None,None
34,Wien,90001,91401,None,35581,35025,556,2013-09-28 22:00:00+00:00,10188,5657,7260,5550,974,2914,1458,None,365,562,None,None,None
35,Schruns,80122,80122,None,1527,1509,18,2013-09-28 22:00:00+00:00,193,401,365,219,50,173,80,None,6,5,None,None,None
36,Krummnußbaum,31517,31517,None,850,830,20,2013-09-28 22:00:00+00:00,303,245,126,65,26,14,42,None,5,4,None,None,None
37,Kreuzstetten,31628,31628,None,929,906,23,2013-09-28 22:00:00+00:00,234,277,176,103,17,31,55,None,9,4,None,None,None
38,Grins,70607,70607,None,744,733,11,2013-09-28 22:00:00+00:00,148,310,130,62,21,28,28,None,4,2,None,None,None
39,Bezau,80204,80204,None,823,813,10,2013-09-28 22:00:00+00:00,35,398,129,96,18,98,22,None,3,2,None,None,None
40,Bichlbach,70804,70804,None,360,356,4,2013-09-28 22:00:00+00:00,45,169,62,32,4,20,21,None,2,1,None,None,None
41,Westendorf,70420,70420,None,1684,1657,27,2013-09-28 22:00:00+00:00,287,716,276,177,39,53,99,None,9,1,None,None,None
42,Ellmau,70509,70509,None,1148,1134,14,2013-09-28 22:00:00+00:00,118,461,260,119,48,30,87,None,7,4,None,None,None
43,Großpetersdorf,10905,10905,None,2084,2045,39,2013-09-28 22:00:00+00:00,869,497,330,117,49,35,121,None,5,12,None,None,None
44,Kolsassberg,70323,70323,None,391,388,3,2013-09-28 22:00:00+00:00,63,167,72,39,7,16,22,None,1,1,None,None,None
45,Flachau,50408,50408,None,1532,1519,13,2013-09-28 22:00:00+00:00,220,605,354,126,58,47,99,None,8,2,None,None,None
46,Laussa,41508,41508,None,801,770,31,2013-09-28 22:00:00+00:00,176,216,154,61,67,29,53,None,4,5,None,None,None
47,St. Nikola an der Donau,41121,41121,None,450,438,12,2013-09-28 22:00:00+00:00,98,193,67,34,10,12,13,None,2,4,None,None,None
48,Vorchdorf,40720,40720,None,4037,3932,105,2013-09-28 22:00:00+00:00,1058,885,946,453,148,123,241,None,26,25,None,None,None
49,Altmelon,32519,32519,None,552,541,11,2013-09-28 22:00:00+00:00,107,262,108,12,18,4,24,None,6,0,None,None,None
50,Rotenturm an der Pinka,10921,10921,None,936,918,18,2013-09-28 22:00:00+00:00,476,178,134,38,11,20,58,None,1,2,None,None,None
51,Markt Allhau,10912,10912,None,1149,1129,20,2013-09-28 22:00:00+00:00,334,289,241,102,38,33,82,None,5,4,None,None,None
52,Zell,20441,20441,None,372,365,7,2013-09-28 22:00:00+00:00,177,47,20,80,8,14,12,None,1,6,None,None,None
53,Unternberg,50513,50513,None,553,544,9,2013-09-28 22:00:00+00:00,126,193,145,33,13,11,18,None,2,3,None,None,None
54,Antiesenhofen,41202,41202,None,550,538,12,2013-09-28 22:00:00+00:00,133,129,118,43,83,8,17,None,6,0,None,None,None
55,Thaur,70358,70358,None,1964,1951,13,2013-09-28 22:00:00+00:00,380,693,328,319,42,92,76,None,14,7,None,None,None
56,Ollersdorf im Burgenland,10412,10412,None,714,703,11,2013-09-28 22:00:00+00:00,274,212,99,36,1,20,57,None,2,2,None,None,None
57,Wien,90001,92201,None,73978,72813,1165,2013-09-28 22:00:00+00:00,26440,7204,20279,7717,2045,3914,3403,None,679,970,None,None,None
58,Völs,70364,70364,None,3142,3106,36,2013-09-28 22:00:00+00:00,636,814,628,530,114,165,159,None,27,33,None,None,None
59,Raabs an der Thaya,32216,32216,None,1673,1622,51,2013-09-28 22:00:00+00:00,290,844,247,86,35,37,72,None,7,4,None,None,None
60,Ahorn,41302,41302,None,330,322,8,2013-09-28 22:00:00+00:00,66,147,66,19,8,2,8,None,0,3,None,None,None
61,Tillmitsch,61043,61043,None,1710,1689,21,2013-09-28 22:00:00+00:00,510,254,500,100,62,49,201,None,3,8,None,None,None
62,Hirschbach im Mühlkreis,40605,40605,None,743,709,34,2013-09-28 22:00:00+00:00,137,307,93,87,28,16,22,None,7,6,None,None,None
63,Tobaj,10417,10417,None,847,836,11,2013-09-28 22:00:00+00:00,210,332,164,26,15,20,62,None,4,2,None,None,None
64,Grafenschachen,10904,10904,None,819,782,37,2013-09-28 22:00:00+00:00,381,176,137,25,17,10,34,None,1,1,None,None,None
65,Hippach,70916,70916,None,580,572,8,2013-09-28 22:00:00+00:00,64,307,102,32,14,13,36,None,3,1,None,None,None
66,Breitenstein,31805,31805,None,184,177,7,2013-09-28 22:00:00+00:00,56,52,35,6,4,2,19,None,2,1,None,None,None
67,Krispl,50206,50206,None,552,540,12,2013-09-28 22:00:00+00:00,132,207,114,34,15,7,28,None,2,1,None,None,None
68,Natternbach,40816,40816,None,1462,1407,55,2013-09-28 22:00:00+00:00,336,432,343,113,45,42,70,None,13,6,None,None,None
69,Kalwang,61105,61105,None,632,627,5,2013-09-28 22:00:00+00:00,161,143,186,31,20,15,60,None,4,7,None,None,None
70,Zwentendorf an der Donau,32141,32141,None,2220,2177,43,2013-09-28 22:00:00+00:00,778,561,447,135,57,65,94,None,13,27,None,None,None
71,Meggenhofen,40814,40814,None,827,810,17,2013-09-28 22:00:00+00:00,149,330,154,93,20,20,31,None,6,6,None,None,None
72,Piesendorf,50616,50616,None,1826,1780,46,2013-09-28 22:00:00+00:00,410,517,431,180,48,51,116,None,15,12,None,None,None
73,Reith im Alpbachtal,70522,70522,None,1287,1280,7,2013-09-28 22:00:00+00:00,168,554,275,118,40,45,69,None,4,7,None,None,None
74,Neumarkt im Hausruckkreis,40818,40818,None,737,723,14,2013-09-28 22:00:00+00:00,216,165,203,53,25,17,33,None,3,8,None,None,None
75,Fischlham,41807,41807,None,819,799,20,2013-09-28 22:00:00+00:00,163,275,171,76,21,25,57,None,8,1,None,None,None
76,Lessach,50502,50502,None,318,309,9,2013-09-28 22:00:00+00:00,59,141,64,19,9,7,9,None,1,0,None,None,None
77,Schwoich,70525,70525,None,1226,1208,18,2013-09-28 22:00:00+00:00,215,468,270,128,17,37,60,None,5,8,None,None,None
78,Ranggen,70343,70343,None,534,526,8,2013-09-28 22:00:00+00:00,89,189,108,72,14,23,22,None,5,4,None,None,None
79,Haiming,70202,70202,None,1920,1886,34,2013-09-28 22:00:00+00:00,398,538,412,242,64,72,134,None,21,5,None,None,None
80,Leonding,41012,41012,None,14108,13840,268,2013-09-28 22:00:00+00:00,4306,2467,2809,2063,508,740,666,None,116,106,None,None,None
81,Nöchling,31528,31528,None,642,638,4,2013-09-28 22:00:00+00:00,132,374,66,31,8,9,16,None,0,2,None,None,None
82,Obritzberg-Rust,31930,31930,None,1453,1415,38,2013-09-28 22:00:00+00:00,295,589,232,97,41,63,78,None,6,14,None,None,None
83,Feldkirchen in Kärnten,21002,21002,None,7067,6941,126,2013-09-28 22:00:00+00:00,2085,870,1458,696,913,243,603,None,44,29,None,None,None
84,Berwang,70802,70802,None,283,276,7,2013-09-28 22:00:00+00:00,41,122,36,29,20,9,17,None,1,1,None,None,None
85,Proleb,61111,61111,None,984,967,17,2013-09-28 22:00:00+00:00,325,132,256,86,30,26,84,None,4,22,None,None,None
86,Krenglbach,41810,41810,None,1805,1767,38,2013-09-28 22:00:00+00:00,509,345,432,205,66,76,110,None,11,8,None,None,None
87,Wörschach,61252,61252,None,676,668,8,2013-09-28 22:00:00+00:00,170,190,146,59,22,19,42,None,6,10,None,None,None
88,Haigermoos,40411,40411,None,319,311,8,2013-09-28 22:00:00+00:00,56,130,65,29,11,8,11,None,1,0,None,None,None
89,Haselsdorf-Tobelbad,60618,60618,None,745,737,8,2013-09-28 22:00:00+00:00,235,106,181,64,30,30,77,None,4,8,None,None,None
90,Lesachtal,20321,20321,None,781,757,24,2013-09-28 22:00:00+00:00,155,439,51,33,41,9,27,None,2,0,None,None,None
91,Spital am Semmering,62131,62131,None,919,902,17,2013-09-28 22:00:00+00:00,312,192,238,42,28,20,49,None,2,17,None,None,None
92,Kalsdorf bei Graz,60624,60624,None,2809,2769,40,2013-09-28 22:00:00+00:00,734,398,910,204,77,87,300,None,20,31,None,None,None
93,Ruden,20812,20812,None,848,826,22,2013-09-28 22:00:00+00:00,324,150,147,40,85,16,54,None,3,7,None,None,None
94,Glinzendorf,30819,30819,None,153,151,2,2013-09-28 22:00:00+00:00,28,67,32,5,2,8,6,None,1,2,None,None,None
95,Wals-Siezenheim,50338,50338,None,6696,6542,154,2013-09-28 22:00:00+00:00,1148,1701,1625,1048,217,310,397,None,48,48,None,None,None
96,Frankenmarkt,41710,41710,None,1990,1913,77,2013-09-28 22:00:00+00:00,446,513,471,178,89,64,112,None,21,11,None,None,None
97,Oepping,41325,41325,None,926,896,30,2013-09-28 22:00:00+00:00,155,365,191,87,25,15,42,None,6,5,None,None,None
98,Hittisau,80216,80216,None,860,849,11,2013-09-28 22:00:00+00:00,49,385,161,103,22,86,31,None,7,0,None,None,None
99,Hart bei Graz,60617,60617,None,2417,2389,28,2013-09-28 22:00:00+00:00,511,390,480,424,112,157,236,None,24,46,None,None,None
100,Vorderstoder,40921,40921,None,431,419,12,2013-09-28 22:00:00+00:00,67,159,110,28,14,9,27,None,3,0,None,None,None
101,Wolfsthal,30728,30728,None,449,445,4,2013-09-28 22:00:00+00:00,122,181,88,18,9,11,13,None,2,1,None,None,None
102,Leopoldsdorf im Marchfelde,30831,30831,None,1412,1392,20,2013-09-28 22:00:00+00:00,550,271,310,95,39,47,62,None,14,4,None,None,None
103,Eggern,30904,30904,None,440,432,8,2013-09-28 22:00:00+00:00,122,180,65,26,5,9,17,None,4,4,None,None,None
104,Zell am Pettenfirst,41752,41752,None,712,692,20,2013-09-28 22:00:00+00:00,141,229,127,109,20,23,26,None,6,6,None,None,None
105,Krieglach,62115,62115,None,3002,2958,44,2013-09-28 22:00:00+00:00,895,492,825,215,126,91,249,None,11,47,None,None,None
106,Wien,90001,90701,None,11987,11831,156,2013-09-28 22:00:00+00:00,2746,1654,1135,3733,240,1449,327,None,169,309,None,None,None
107,Bartholomäberg,80101,80101,None,1085,1074,11,2013-09-28 22:00:00+00:00,150,294,302,104,30,108,48,None,13,3,None,None,None
108,Stössing,31941,31941,None,441,430,11,2013-09-28 22:00:00+00:00,58,206,67,37,13,16,25,None,4,4,None,None,None
109,Eisenerz,61101,61101,None,2742,2719,23,2013-09-28 22:00:00+00:00,1306,282,547,123,68,72,170,None,15,133,None,None,None
110,Schiedlberg,41515,41515,None,753,747,6,2013-09-28 22:00:00+00:00,81,440,87,43,27,18,39,None,5,4,None,None,None
111,Karrösten,70207,70207,None,355,353,2,2013-09-28 22:00:00+00:00,87,131,77,24,7,9,17,None,1,0,None,None,None
112,Steinakirchen am Forst,32014,32014,None,1482,1441,41,2013-09-28 22:00:00+00:00,201,717,221,145,40,42,53,None,12,10,None,None,None
113,Hadersdorf-Kammern,31315,31315,None,1197,1172,25,2013-09-28 22:00:00+00:00,375,304,224,98,37,56,61,None,12,5,None,None,None
114,Straßwalchen,50335,50335,None,3850,3718,132,2013-09-28 22:00:00+00:00,734,1078,1009,414,153,137,160,None,20,13,None,None,None
115,Velden am Wörther See,20725,20725,None,4329,4259,70,2013-09-28 22:00:00+00:00,1231,590,767,530,529,196,364,None,30,22,None,None,None
116,Haunoldstein,31911,31911,None,668,649,19,2013-09-28 22:00:00+00:00,174,217,141,49,8,22,27,None,4,7,None,None,None
117,Bildein,10426,10426,None,229,226,3,2013-09-28 22:00:00+00:00,22,151,28,12,1,2,9,None,0,0,None,None,None
118,Waidhofen an der Thaya,32220,32220,None,3279,3185,94,2013-09-28 22:00:00+00:00,633,1211,626,326,101,109,134,None,20,25,None,None,None
119,Kraubath an der Mur,61107,61107,None,823,819,4,2013-09-28 22:00:00+00:00,215,198,200,56,30,22,82,None,3,12,None,None,None
120,Schottwien,31833,31833,None,394,385,9,2013-09-28 22:00:00+00:00,91,119,103,20,12,11,19,None,3,7,None,None,None
121,Retz,31037,31037,None,2397,2334,63,2013-09-28 22:00:00+00:00,567,1032,271,186,62,77,116,None,9,14,None,None,None
122,Überackern,40445,40445,None,261,253,8,2013-09-28 22:00:00+00:00,62,95,55,16,5,2,14,None,0,2,None,None,None
123,Diex,20802,20802,None,476,463,13,2013-09-28 22:00:00+00:00,138,148,59,25,65,3,24,None,1,0,None,None,None
124,Fornach,41708,41708,None,583,552,31,2013-09-28 22:00:00+00:00,65,247,135,46,19,8,27,None,0,1,None,None,None
125,Baden,30604,30604,None,12411,12206,205,2013-09-28 22:00:00+00:00,2660,3192,1957,1805,410,1146,798,None,116,122,None,None,None
126,Fuschl am See,50312,50312,None,730,714,16,2013-09-28 22:00:00+00:00,87,281,145,94,13,34,51,None,6,3,None,None,None
127,Matrei in Osttirol,70717,70717,None,2170,2110,60,2013-09-28 22:00:00+00:00,240,790,600,197,74,71,118,None,10,10,None,None,None
128,Radstadt,50417,50417,None,2276,2232,44,2013-09-28 22:00:00+00:00,460,692,643,176,73,71,107,None,7,3,None,None,None
129,Neustift-Innermanzing,31927,31927,None,821,807,14,2013-09-28 22:00:00+00:00,187,231,175,74,27,55,39,None,9,10,None,None,None
130,Wiener Neudorf,31725,31725,None,4846,4765,81,2013-09-28 22:00:00+00:00,1564,837,979,566,154,313,257,None,39,56,None,None,None
131,Geboltskirchen,40807,40807,None,860,822,38,2013-09-28 22:00:00+00:00,207,257,179,77,30,5,45,None,7,4,None,None,None
132,Grinzens,70315,70315,None,635,624,11,2013-09-28 22:00:00+00:00,128,216,122,85,20,28,21,None,2,2,None,None,None
133,Haslau-Maria Ellend,30711,30711,None,1056,1043,13,2013-09-28 22:00:00+00:00,388,234,207,83,29,42,41,None,11,8,None,None,None
134,Imst,70203,70203,None,4098,4034,64,2013-09-28 22:00:00+00:00,727,1248,904,604,97,176,230,None,26,22,None,None,None
135,Mank,31521,31521,None,1837,1788,49,2013-09-28 22:00:00+00:00,256,797,330,211,49,49,75,None,13,8,None,None,None
136,Deutsch-Wagram,30808,30808,None,4254,4163,91,2013-09-28 22:00:00+00:00,1219,892,1055,397,127,191,197,None,46,39,None,None,None
137,Ehrwald,70807,70807,None,1027,1015,12,2013-09-28 22:00:00+00:00,176,390,214,96,29,34,65,None,8,3,None,None,None
138,Bad Wimsbach-Neydharting,41803,41803,None,1454,1417,37,2013-09-28 22:00:00+00:00,332,477,307,129,70,27,55,None,11,4,None,None,None
139,Petzenkirchen,31531,31531,None,750,731,19,2013-09-28 22:00:00+00:00,299,149,163,52,19,12,32,None,4,1,None,None,None
140,Gmunden,40705,40705,None,6262,6134,128,2013-09-28 22:00:00+00:00,1409,1446,1118,1001,317,380,338,None,48,40,None,None,None
141,Kohfidisch,10908,10908,None,952,931,21,2013-09-28 22:00:00+00:00,348,298,174,30,5,14,53,None,2,5,None,None,None
142,Podersdorf am See,10718,10718,None,1339,1292,47,2013-09-28 22:00:00+00:00,315,499,205,69,34,54,94,None,8,9,None,None,None
143,Jabing,10930,10930,None,489,477,12,2013-09-28 22:00:00+00:00,192,114,95,22,9,10,32,None,1,2,None,None,None
144,Aschach an der Steyr,41502,41502,None,1363,1323,40,2013-09-28 22:00:00+00:00,269,395,241,204,55,62,68,None,12,10,None,None,None
145,Schwarzenbach,32326,32326,None,713,703,10,2013-09-28 22:00:00+00:00,301,210,138,14,13,10,15,None,2,0,None,None,None
146,Irschen,20611,20611,None,1110,1088,22,2013-09-28 22:00:00+00:00,383,244,177,113,65,18,71,None,10,7,None,None,None
147,Neukirchen am Großvenediger,50614,50614,None,1295,1255,40,2013-09-28 22:00:00+00:00,378,373,253,83,28,50,75,None,7,8,None,None,None
148,Mühlbach am Hochkönig,50415,50415,None,854,838,16,2013-09-28 22:00:00+00:00,332,181,189,50,26,15,37,None,6,2,None,None,None
149,Ostermiething,40428,40428,None,1454,1385,69,2013-09-28 22:00:00+00:00,268,433,333,148,55,37,85,None,11,5,None,None,None
150,Hollersbach im Pinzgau,50605,50605,None,687,668,19,2013-09-28 22:00:00+00:00,173,264,122,45,15,9,38,None,2,0,None,None,None
151,Göttlesbrunn-Arbesthal,30708,30708,None,862,853,9,2013-09-28 22:00:00+00:00,146,358,178,48,25,33,52,None,4,9,None,None,None
152,Litschau,30925,30925,None,1403,1365,38,2013-09-28 22:00:00+00:00,422,502,229,70,28,39,61,None,7,7,None,None,None
153,Serfaus,70624,70624,None,492,479,13,2013-09-28 22:00:00+00:00,43,294,44,42,9,15,24,None,6,2,None,None,None
154,Bad Hall,41503,41503,None,2514,2447,67,2013-09-28 22:00:00+00:00,592,605,509,284,182,90,131,None,22,18,None,None,None
155,Zell am See,50628,50628,None,4078,4005,73,2013-09-28 22:00:00+00:00,1225,847,974,419,116,163,225,None,24,12,None,None,None
156,Grafenschlag,32506,32506,None,581,551,30,2013-09-28 22:00:00+00:00,88,309,69,35,16,8,19,None,2,5,None,None,None
157,Ottenschlag im Mühlkreis,41616,41616,None,326,309,17,2013-09-28 22:00:00+00:00,73,111,61,20,12,7,19,None,2,3,None,None,None
158,Fußach,80213,80213,None,1512,1499,13,2013-09-28 22:00:00+00:00,217,315,385,239,40,184,76,None,13,7,None,None,None
159,Großklein,61013,61013,None,1302,1290,12,2013-09-28 22:00:00+00:00,246,344,402,77,45,32,131,None,3,6,None,None,None
160,St. Bernhard-Frauenhofen,31123,31123,None,836,820,16,2013-09-28 22:00:00+00:00,120,473,102,47,23,16,29,None,8,2,None,None,None
161,Rosenau am Hengstpaß,40914,40914,None,400,396,4,2013-09-28 22:00:00+00:00,149,80,98,21,15,1,21,None,3,1,None,None,None
162,Oberdrauburg,20625,20625,None,630,617,13,2013-09-28 22:00:00+00:00,189,153,89,58,56,9,57,None,3,3,None,None,None
163,St. Georgen am Längsee,20523,20523,None,2014,1969,45,2013-09-28 22:00:00+00:00,653,253,355,203,291,64,129,None,8,13,None,None,None
164,Itter,70407,70407,None,618,609,9,2013-09-28 22:00:00+00:00,116,223,106,53,28,34,46,None,1,2,None,None,None
165,Sigmundsherberg,31124,31124,None,1095,1067,28,2013-09-28 22:00:00+00:00,375,393,149,45,18,21,54,None,4,8,None,None,None
166,Krumbach,80221,80221,None,505,495,10,2013-09-28 22:00:00+00:00,36,193,102,59,13,41,36,None,2,1,None,None,None
167,Hinterbrühl,31712,31712,None,2102,2078,24,2013-09-28 22:00:00+00:00,317,827,216,312,52,226,100,None,16,12,None,None,None
168,Ramsau,31409,31409,None,497,480,17,2013-09-28 22:00:00+00:00,110,180,99,16,13,26,31,None,3,2,None,None,None
169,Riedlingsdorf,10920,10920,None,961,936,25,2013-09-28 22:00:00+00:00,480,124,189,53,13,16,50,None,9,2,None,None,None
170,Rust,10201,10201,None,1167,1146,21,2013-09-28 22:00:00+00:00,454,254,237,69,17,34,73,None,3,3,None,None,None
171,Kleinzell,31406,31406,None,542,528,14,2013-09-28 22:00:00+00:00,76,285,98,17,8,13,23,None,2,6,None,None,None
172,St. Andrä,20913,20913,None,5479,5343,136,2013-09-28 22:00:00+00:00,1918,690,1277,294,580,95,432,None,28,29,None,None,None
173,Pilgersdorf,10817,10817,None,1125,1104,21,2013-09-28 22:00:00+00:00,312,507,133,42,11,18,67,None,7,3,None,None,None
174,Reichraming,41512,41512,None,1130,1116,14,2013-09-28 22:00:00+00:00,533,145,213,73,49,28,60,None,7,5,None,None,None
175,Kappel am Krappfeld,20512,20512,None,1168,1143,25,2013-09-28 22:00:00+00:00,320,360,169,69,134,22,61,None,3,5,None,None,None
176,Kaumberg,31405,31405,None,580,570,10,2013-09-28 22:00:00+00:00,97,229,122,32,25,19,39,None,1,6,None,None,None
177,St. Veit in Defereggen,70726,70726,None,327,323,4,2013-09-28 22:00:00+00:00,27,173,62,17,9,11,21,None,0,3,None,None,None
178,Sankt Stefan ob Leoben,61115,61115,None,1235,1226,9,2013-09-28 22:00:00+00:00,420,192,368,62,32,20,102,None,5,20,None,None,None
179,Kirchberg am Walde,30921,30921,None,868,845,23,2013-09-28 22:00:00+00:00,188,392,156,24,18,11,49,None,2,5,None,None,None
180,Micheldorf in Oberösterreich,40908,40908,None,3402,3317,85,2013-09-28 22:00:00+00:00,1071,559,798,403,107,114,196,None,28,25,None,None,None
181,Pöttsching,10609,10609,None,1766,1742,24,2013-09-28 22:00:00+00:00,672,313,294,151,32,81,166,None,17,13,None,None,None
182,Ludmannsdorf,20416,20416,None,1011,1001,10,2013-09-28 22:00:00+00:00,371,147,158,131,96,28,54,None,7,9,None,None,None
183,Puchkirchen am Trattberg,41727,41727,None,562,546,16,2013-09-28 22:00:00+00:00,106,192,112,50,18,22,29,None,7,6,None,None,None
184,Griffen,20808,20808,None,1927,1870,57,2013-09-28 22:00:00+00:00,522,449,358,124,224,44,127,None,10,12,None,None,None
185,Ansfelden,41002,41002,None,7497,7345,152,2013-09-28 22:00:00+00:00,2820,926,1999,604,240,188,431,None,57,59,None,None,None
186,St. Urban,21008,21008,None,711,704,7,2013-09-28 22:00:00+00:00,192,109,203,55,79,13,48,None,1,4,None,None,None
187,Eberschwang,41204,41204,None,1860,1803,57,2013-09-28 22:00:00+00:00,513,392,490,153,115,39,67,None,17,5,None,None,None
188,Aspang-Markt,31802,31802,None,1169,1146,23,2013-09-28 22:00:00+00:00,339,422,208,57,36,32,45,None,5,2,None,None,None
189,St. Johann in Tirol,70416,70416,None,3821,3759,62,2013-09-28 22:00:00+00:00,644,1044,930,568,116,168,242,None,25,22,None,None,None
190,Stotzing,10321,10321,None,452,440,12,2013-09-28 22:00:00+00:00,162,141,72,16,14,10,20,None,2,2,None,None,None
191,Altenfelden,41304,41304,None,1251,1192,59,2013-09-28 22:00:00+00:00,268,399,271,90,41,39,63,None,8,5,None,None,None
192,Neusiedl an der Zaya,30841,30841,None,782,759,23,2013-09-28 22:00:00+00:00,202,289,172,27,18,16,24,None,5,6,None,None,None
193,Hinterhornbach,70815,70815,None,48,47,1,2013-09-28 22:00:00+00:00,4,37,5,0,0,1,0,None,0,0,None,None,None
194,St. Lorenz,41735,41735,None,1218,1190,28,2013-09-28 22:00:00+00:00,162,459,244,145,37,73,59,None,5,3,None,None,None
195,Weissenbach an der Triesting,30645,30645,None,980,962,18,2013-09-28 22:00:00+00:00,319,216,209,77,34,36,59,None,8,4,None,None,None
196,Saxen,41123,41123,None,1111,1082,29,2013-09-28 22:00:00+00:00,270,290,328,79,23,28,49,None,4,5,None,None,None
197,Gallneukirchen,41607,41607,None,3474,3393,81,2013-09-28 22:00:00+00:00,996,711,494,739,94,158,136,None,23,25,None,None,None
198,Rettenegg,61743,61743,None,469,461,8,2013-09-28 22:00:00+00:00,126,167,87,17,13,7,41,None,1,1,None,None,None
199,Ertl,30510,30510,None,762,739,23,2013-09-28 22:00:00+00:00,95,355,146,45,23,16,44,None,12,3,None,None,None
200,Kennelbach,80220,80220,None,782,774,8,2013-09-28 22:00:00+00:00,136,202,174,101,15,80,44,None,2,10,None,None,None
201,Riefensberg,80231,80231,None,436,429,7,2013-09-28 22:00:00+00:00,12,235,78,33,14,34,16,None,4,0,None,None,None
