id,gemeinde_name,gemeinde_kennzahl,gemeinde_code,eligible_voters,votes,valid,invalid,ts,spoe_nrw13,oevp_nrw13,fpoe_nrw13,gruene_nrw13,bzoe_nrw13,neos_nrw13,stronach_nrw13,wandel_nrw13,pirat_nrw13,kpoe_nrw13,slp_nrw13,euaus_nrw13,cpoe_nrw13
614,Kottingbrunn,30618,30618,None,3981,3917,64,2013-09-28 22:00:00+00:00,1314,595,952,388,120,178,288,None,39,43,None,None,None
615,Droß,31356,31356,None,616,603,13,2013-09-28 22:00:00+00:00,120,194,112,74,21,42,31,None,4,5,None,None,None
616,Pupping,40509,40509,None,1080,1063,17,2013-09-28 22:00:00+00:00,258,311,270,125,26,19,41,None,4,3,None,None,None
617,Bruck-Waasen,40803,40803,None,1361,1312,49,2013-09-28 22:00:00+00:00,217,509,287,124,62,35,63,None,6,4,None,None,None
618,Ried im Traunkreis,40913,40913,None,1574,1531,43,2013-09-28 22:00:00+00:00,249,549,413,118,42,40,82,None,28,5,None,None,None
619,Bregenz,80207,80207,None,10258,10145,113,2013-09-28 22:00:00+00:00,2174,2067,2094,1712,202,1101,528,None,89,65,None,None,None
620,Unterwart,10925,10925,None,501,490,11,2013-09-28 22:00:00+00:00,185,161,67,20,8,6,38,None,1,2,None,None,None
621,Langenrohr,32119,32119,None,1363,1335,28,2013-09-28 22:00:00+00:00,250,503,308,102,34,59,59,None,9,11,None,None,None
622,Schrattenberg,31646,31646,None,519,497,22,2013-09-28 22:00:00+00:00,89,269,78,10,18,7,21,None,4,1,None,None,None
623,Gaming,32001,32001,None,1896,1842,54,2013-09-28 22:00:00+00:00,799,432,312,102,41,51,80,None,12,13,None,None,None
624,Innervillgraten,70710,70710,None,456,447,9,2013-09-28 22:00:00+00:00,20,316,48,14,32,4,13,None,0,0,None,None,None
625,Deutsch Schützen-Eisenberg,10903,10903,None,771,766,5,2013-09-28 22:00:00+00:00,155,344,150,25,20,17,48,None,0,4,None,None,None
626,Wildermieming,70368,70368,None,494,488,6,2013-09-28 22:00:00+00:00,68,159,94,82,16,33,29,None,5,2,None,None,None
627,Bergern im Dunkelsteinerwald,31303,31303,None,837,809,28,2013-09-28 22:00:00+00:00,190,349,132,56,18,30,22,None,4,8,None,None,None
628,Rabenstein an der Pielach,31935,31935,None,1581,1532,49,2013-09-28 22:00:00+00:00,409,564,286,106,31,40,71,None,8,17,None,None,None
629,Freistadt,40601,40601,None,4269,4177,92,2013-09-28 22:00:00+00:00,1184,1093,787,551,185,90,178,None,52,47,None,None,None
630,Draßburg,10601,10601,None,693,678,15,2013-09-28 22:00:00+00:00,419,77,88,40,12,9,25,None,4,3,None,None,None
631,Hellmonsödt,41611,41611,None,1250,1225,25,2013-09-28 22:00:00+00:00,254,365,246,207,30,31,60,None,10,15,None,None,None
632,Herzogsdorf,41612,41612,None,1464,1396,68,2013-09-28 22:00:00+00:00,256,577,259,136,50,23,78,None,3,10,None,None,None
633,Tarsdorf,40443,40443,None,1074,1037,37,2013-09-28 22:00:00+00:00,149,389,280,101,33,18,46,None,6,4,None,None,None
634,Ruprechtshofen,31537,31537,None,1407,1356,51,2013-09-28 22:00:00+00:00,148,593,376,115,27,37,43,None,9,8,None,None,None
635,Puch bei Weiz,61740,61740,None,1255,1223,32,2013-09-28 22:00:00+00:00,192,267,275,107,57,34,265,None,11,9,None,None,None
636,Natschbach-Loipersbach,31817,31817,None,1064,1042,22,2013-09-28 22:00:00+00:00,256,368,201,88,41,33,46,None,4,5,None,None,None
637,Bernstein,10902,10902,None,1376,1356,20,2013-09-28 22:00:00+00:00,649,310,233,48,24,30,54,None,2,3,None,None,None
638,Reingers,30929,30929,None,400,390,10,2013-09-28 22:00:00+00:00,71,195,56,18,4,6,40,None,0,0,None,None,None
639,Atzesberg,41306,41306,None,303,295,8,2013-09-28 22:00:00+00:00,31,141,81,22,4,4,9,None,2,0,None,None,None
640,Dorfgastein,50405,50405,None,1003,964,39,2013-09-28 22:00:00+00:00,275,267,246,82,23,32,32,None,4,3,None,None,None
641,Lasberg,40609,40609,None,1716,1672,44,2013-09-28 22:00:00+00:00,347,621,250,245,66,36,62,None,18,16,None,None,None
642,Alkoven,40501,40501,None,3324,3239,85,2013-09-28 22:00:00+00:00,1107,628,713,378,109,91,157,None,23,18,None,None,None
643,Tweng,50512,50512,None,102,102,0,2013-09-28 22:00:00+00:00,18,40,30,2,2,5,5,None,0,0,None,None,None
644,Rossatz-Arnsdorf,31338,31338,None,707,694,13,2013-09-28 22:00:00+00:00,196,283,82,56,13,29,25,None,4,6,None,None,None
645,Gosau,40706,40706,None,1054,1015,39,2013-09-28 22:00:00+00:00,455,205,151,62,50,32,44,None,4,7,None,None,None
646,Lichtenberg,41614,41614,None,1668,1628,40,2013-09-28 22:00:00+00:00,332,516,228,312,40,120,59,None,8,6,None,None,None
647,Laterns,80411,80411,None,361,356,5,2013-09-28 22:00:00+00:00,13,143,80,27,9,55,21,None,2,2,None,None,None
648,Gmünd in Kärnten,20608,20608,None,1435,1413,22,2013-09-28 22:00:00+00:00,419,215,324,139,173,58,71,None,8,6,None,None,None
649,Mühldorf,20624,20624,None,535,524,11,2013-09-28 22:00:00+00:00,183,61,161,29,35,20,26,None,5,4,None,None,None
650,Wallern im Burgenland,10721,10721,None,1200,1176,24,2013-09-28 22:00:00+00:00,512,308,234,43,12,12,37,None,3,9,None,None,None
651,Mitterbach am Erlaufsee,31408,31408,None,311,302,9,2013-09-28 22:00:00+00:00,66,137,65,7,11,7,8,None,1,0,None,None,None
652,Neufeld an der Leitha,10309,10309,None,1813,1771,42,2013-09-28 22:00:00+00:00,757,205,398,142,60,61,121,None,15,12,None,None,None
653,Pfons,70341,70341,None,705,695,10,2013-09-28 22:00:00+00:00,126,262,135,77,24,35,31,None,1,4,None,None,None
654,Kals am Großglockner,70712,70712,None,597,578,19,2013-09-28 22:00:00+00:00,44,301,126,37,20,15,26,None,5,4,None,None,None
655,Reisenberg,30629,30629,None,990,968,22,2013-09-28 22:00:00+00:00,408,188,200,36,21,31,75,None,4,5,None,None,None
656,Trofaiach,61120,61120,None,6746,6681,65,2013-09-28 22:00:00+00:00,2302,749,1858,466,278,198,521,None,34,265,None,None,None
