gkz	name	wahlberechtigte	abgegeben	gueltig	spoe	oevp	fpoe	bzoe	gruene	frank	neos	kpoe	pirat	cpoe	wandl	m	euaus	slp	winner
G31505	Blindenmarkt	1947	1407	1365	281	391	373	52	104	76	58	22	8	0	0	0	0	0	oevp
G31506	Dorfstetten	473	341	337	107	132	70	5	11	10	2	0	0	0	0	0	0	0	oevp
G31507	Dunkelsteinerwald	1892	1475	1450	276	514	368	42	110	56	58	20	6	0	0	0	0	0	oevp
G31508	Erlauf	855	656	641	169	219	127	22	39	37	16	7	5	0	0	0	0	0	oevp
G31509	Golling an der Erlauf	1221	860	845	445	58	204	19	51	39	15	10	4	0	0	0	0	0	spoe
G31511	Hofamt Priel	1378	1075	1046	312	394	162	25	86	37	23	2	5	0	0	0	0	0	oevp
G31513	Hürm	1412	1022	1001	114	548	172	29	64	31	26	7	10	0	0	0	0	0	oevp
G31514	Kilb	2063	1581	1529	237	672	261	43	160	77	56	12	11	0	0	0	0	0	oevp
G31515	Kirnberg an der Mank	826	694	673	59	390	104	18	49	24	22	4	3	0	0	0	0	0	oevp
G31516	Klein-Pöchlarn	809	590	579	249	137	99	16	39	23	6	2	8	0	0	0	0	0	spoe
G31517	Krummnußbaum	1167	850	830	303	245	126	26	65	42	14	4	5	0	0	0	0	0	spoe
G31519	Leiben	1098	778	761	311	206	138	16	43	16	18	8	5	0	0	0	0	0	spoe
G31520	Loosdorf	3059	2165	2111	771	415	528	49	153	98	77	12	8	0	0	0	0	0	spoe
G31521	Mank	2509	1837	1788	256	797	330	49	211	75	49	8	13	0	0	0	0	0	oevp
G31522	Marbach an der Donau	1333	939	921	407	212	145	21	43	46	30	3	14	0	0	0	0	0	spoe
G31523	Maria Taferl	714	567	563	158	217	97	9	38	17	17	9	1	0	0	0	0	0	oevp
G31524	Melk	4122	2902	2849	632	946	548	78	376	106	128	11	24	0	0	0	0	0	oevp
G31525	Münichreith-Laimbach	1378	1031	995	343	349	178	17	41	37	20	3	7	0	0	0	0	0	oevp
G31527	Neumarkt an der Ybbs	1480	1068	1050	351	262	229	32	82	49	33	6	6	0	0	0	0	0	spoe
G31528	Nöchling	832	642	638	132	374	66	8	31	16	9	2	0	0	0	0	0	0	oevp
G31530	Persenbeug-Gottsdorf	1868	1310	1282	560	236	239	26	104	54	41	15	7	0	0	0	0	0	spoe
G31531	Petzenkirchen	1035	750	731	299	149	163	19	52	32	12	1	4	0	0	0	0	0	spoe
G31533	Pöchlarn	3051	1963	1922	640	443	423	67	180	77	71	15	6	0	0	0	0	0	spoe
G31534	Pöggstall	2078	1471	1432	320	614	276	28	72	71	35	5	11	0	0	0	0	0	oevp
G31535	Raxendorf	878	671	656	152	342	95	14	14	24	9	1	5	0	0	0	0	0	oevp
G31537	Ruprechtshofen	1832	1407	1356	148	593	376	27	115	43	37	8	9	0	0	0	0	0	oevp
G31539	St. Leonhard am Forst	2548	1893	1841	289	708	483	40	163	70	64	9	15	0	0	0	0	0	oevp
G31540	St. Martin-Karlsbach	1437	1099	1072	341	356	187	19	78	44	34	8	5	0	0	0	0	0	oevp
G31541	St. Oswald	884	652	632	143	364	62	14	18	14	7	8	2	0	0	0	0	0	oevp
G31542	Schönbühel-Aggsbach	873	644	628	150	199	138	26	43	29	29	4	10	0	0	0	0	0	oevp
G31543	Schollach	771	625	617	160	232	142	7	51	14	8	3	0	0	0	0	0	0	oevp
G31546	Weiten	889	614	597	123	320	79	11	20	22	11	3	8	0	0	0	0	0	oevp
G31549	Ybbs an der Donau	4332	3027	2956	1257	568	584	75	211	133	83	17	28	0	0	0	0	0	spoe
G31550	Zelking-Matzleinsdorf	1019	809	796	198	316	117	27	65	26	34	2	11	0	0	0	0	0	oevp
G31551	Texingtal	1276	1011	976	117	564	118	28	76	40	22	3	8	0	0	0	0	0	oevp
G31552	Yspertal	1507	1134	1109	351	422	182	37	51	34	24	2	6	0	0	0	0	0	oevp
G31553	Emmersdorf an der Donau	1427	1047	1023	277	365	158	22	101	43	38	6	13	0	0	0	0	0	oevp
G31601	Altlichtenwarth	629	445	434	112	193	78	6	14	18	5	5	3	0	0	0	0	0	oevp
G31603	Asparn an der Zaya	1410	1086	1065	301	388	196	22	68	42	34	8	6	0	0	0	0	0	oevp
G31604	Bernhardsthal	1374	1037	1016	366	342	189	15	37	47	14	4	2	0	0	0	0	0	spoe
G31605	Bockfließ	1057	845	820	244	266	142	14	70	39	25	9	11	0	0	0	0	0	oevp
G31606	Drasenhofen	885	671	654	102	348	110	24	13	32	20	4	1	0	0	0	0	0	oevp
G31608	Falkenstein	376	294	285	30	167	22	8	35	13	7	3	0	0	0	0	0	0	oevp
G31609	Fallbach	688	525	518	72	346	39	7	30	14	8	1	1	0	0	0	0	0	oevp
G31611	Gaubitsch	743	604	583	63	374	80	12	15	21	17	0	1	0	0	0	0	0	oevp
G31612	Gaweinstal	2997	2213	2168	617	783	440	32	127	86	63	11	9	0	0	0	0	0	oevp
G31613	Gnadendorf	938	738	724	133	381	105	11	41	27	22	2	2	0	0	0	0	0	oevp
G31614	Großebersdorf	1805	1388	1361	308	451	310	46	98	79	51	12	6	0	0	0	0	0	oevp
G31615	Großengersdorf	1147	936	914	333	315	163	13	54	12	16	5	3	0	0	0	0	0	spoe
G31616	Großharras	969	719	694	148	324	127	8	37	26	16	5	3	0	0	0	0	0	oevp
G31617	Großkrut	1320	1034	1007	259	402	217	19	40	39	20	6	5	0	0	0	0	0	oevp
G31620	Hausbrunn	699	560	552	256	136	107	6	14	15	6	9	3	0	0	0	0	0	spoe
G31621	Herrnbaumgarten	798	629	623	84	307	131	28	29	18	18	6	2	0	0	0	0	0	oevp
G31622	Hochleithen	931	732	723	210	258	133	16	36	33	31	3	3	0	0	0	0	0	oevp
G31627	Kreuttal	1189	913	889	253	283	143	28	78	50	37	9	8	0	0	0	0	0	oevp
G31628	Kreuzstetten	1265	929	906	234	277	176	17	103	55	31	4	9	0	0	0	0	0	oevp
G31629	Laa an der Thaya	5151	3781	3683	1114	1128	747	94	274	164	121	23	18	0	0	0	0	0	oevp
G31630	Ladendorf	1821	1371	1337	318	560	251	19	95	45	30	14	5	0	0	0	0	0	oevp
G31633	Mistelbach	9026	6546	6379	1649	2071	1146	165	650	278	321	53	46	0	0	0	0	0	oevp
G31634	Neudorf bei Staatz	1139	861	832	249	296	168	16	34	36	25	5	3	0	0	0	0	0	oevp
G31636	Niederleis	725	536	522	173	169	93	9	40	24	10	4	0	0	0	0	0	0	spoe
G31642	Pillichsdorf	922	742	723	165	277	98	23	84	27	31	10	8	0	0	0	0	0	oevp
G31644	Poysdorf	4434	3335	3256	694	1442	604	78	153	151	94	19	21	0	0	0	0	0	oevp
G31645	Rabensburg	925	639	619	300	66	164	15	12	39	12	4	7	0	0	0	0	0	spoe
G31646	Schrattenberg	683	519	497	89	269	78	18	10	21	7	1	4	0	0	0	0	0	oevp
G31649	Staatz	1676	1255	1221	354	477	218	21	61	51	24	10	5	0	0	0	0	0	oevp
G31650	Stronsdorf	1383	1105	1079	154	554	229	18	41	41	31	2	9	0	0	0	0	0	oevp
G31651	Ulrichskirchen-Schleinbach	2070	1600	1562	455	424	299	51	180	68	63	11	11	0	0	0	0	0	spoe
G31652	Unterstinkenbrunn	473	344	338	54	183	50	10	16	14	5	2	4	0	0	0	0	0	oevp
G31653	Wildendürnbach	1294	1001	978	149	522	174	20	37	45	24	3	4	0	0	0	0	0	oevp
G31654	Wilfersdorf	1726	1325	1290	393	440	261	24	71	42	46	5	8	0	0	0	0	0	oevp
G31655	Wolkersdorf im Weinviertel	5369	4123	4048	872	1325	650	101	676	142	209	38	35	0	0	0	0	0	oevp
G31658	Ottenthal	505	405	397	50	234	69	12	12	8	6	5	1	0	0	0	0	0	oevp
G31701	Achau	974	729	714	233	141	137	26	88	31	46	6	6	0	0	0	0	0	spoe
G31702	Biedermannsdorf	2259	1627	1589	349	438	255	70	234	88	128	11	16	0	0	0	0	0	oevp
G31703	Breitenfurt bei Wien	4678	3473	3417	780	864	573	131	485	197	320	39	28	0	0	0	0	0	oevp
G31704	Brunn am Gebirge	8504	6083	5983	1612	1338	1071	163	887	241	558	66	47	0	0	0	0	0	spoe
G31706	Gaaden	1245	924	909	177	251	150	49	133	44	93	6	6	0	0	0	0	0	oevp
G31707	Gießhübl	1621	1174	1164	206	372	120	50	196	52	155	2	11	0	0	0	0	0	oevp
G31709	Gumpoldskirchen	2848	2084	2054	464	558	292	69	367	89	187	13	15	0	0	0	0	0	oevp
G31710	Guntramsdorf	6861	5081	4994	1620	854	1084	136	611	282	322	41	44	0	0	0	0	0	spoe
G31711	Hennersdorf	1177	909	896	301	203	154	20	88	67	46	14	3	0	0	0	0	0	spoe
G31712	Hinterbrühl	2989	2102	2078	317	827	216	52	312	100	226	12	16	0	0	0	0	0	oevp
G31713	Kaltenleutgeben	2555	1892	1862	575	342	404	58	206	69	184	15	9	0	0	0	0	0	spoe
G31714	Laab im Walde	922	676	670	140	207	70	13	141	18	59	12	10	0	0	0	0	0	oevp
G31715	Laxenburg	2188	1488	1461	318	442	209	61	204	72	130	8	17	0	0	0	0	0	oevp
G31716	Maria Enzersdorf	6583	4471	4408	628	1452	589	149	810	192	521	32	35	0	0	0	0	0	oevp
G31717	Mödling	15175	10061	9891	2057	2635	1469	282	1783	455	1008	119	83	0	0	0	0	0	oevp
G31718	Münchendorf	2142	1590	1566	476	300	368	60	163	70	102	12	15	0	0	0	0	0	spoe
G31719	Perchtoldsdorf	11587	8121	7973	1440	2430	1140	240	1209	366	1008	67	73	0	0	0	0	0	oevp
G31723	Vösendorf	4912	3238	3196	1053	465	818	97	322	189	191	28	33	0	0	0	0	0	spoe
G31725	Wiener Neudorf	6977	4846	4765	1564	837	979	154	566	257	313	56	39	0	0	0	0	0	spoe
G31726	Wienerwald	2017	1525	1504	319	487	254	61	161	83	107	17	15	0	0	0	0	0	oevp
G31801	Altendorf	259	200	195	20	109	39	6	10	5	1	5	0	0	0	0	0	0	oevp
G31802	Aspang-Markt	1570	1169	1146	339	422	208	36	57	45	32	2	5	0	0	0	0	0	oevp
G31803	Aspangberg-St. Peter	1582	1149	1122	242	502	223	35	42	45	28	3	2	0	0	0	0	0	oevp
G31804	Breitenau	1174	931	914	381	183	197	27	45	41	33	5	2	0	0	0	0	0	spoe
G31805	Breitenstein	280	184	177	56	52	35	4	6	19	2	1	2	0	0	0	0	0	spoe
G31806	Buchbach	296	226	225	89	67	26	5	15	12	7	1	3	0	0	0	0	0	spoe
G31807	Edlitz	762	564	549	128	219	96	19	36	27	20	2	2	0	0	0	0	0	oevp
G31808	Enzenreith	1574	1142	1129	395	242	259	27	100	51	40	8	7	0	0	0	0	0	spoe
G31809	Feistritz am Wechsel	885	712	700	129	308	153	21	43	25	14	2	5	0	0	0	0	0	oevp
G31810	Gloggnitz	4736	3197	3124	1117	601	774	92	241	147	109	25	18	0	0	0	0	0	spoe
G31811	Grafenbach-St. Valentin	1783	1377	1341	515	278	313	37	80	54	46	10	8	0	0	0	0	0	spoe
G31812	Grimmenstein	1123	825	802	234	311	126	22	43	38	16	5	7	0	0	0	0	0	oevp
G31813	Grünbach am Schneeberg	1291	943	928	370	170	197	28	62	54	28	13	6	0	0	0	0	0	spoe
G31814	Kirchberg am Wechsel	1911	1474	1453	212	696	308	37	83	68	33	6	10	0	0	0	0	0	oevp
G31815	Mönichkirchen	530	372	364	78	162	69	10	12	20	6	2	5	0	0	0	0	0	oevp
G31817	Natschbach-Loipersbach	1399	1064	1042	256	368	201	41	88	46	33	5	4	0	0	0	0	0	oevp
G31818	Neunkirchen	9027	5923	5831	2197	1159	1272	119	523	275	199	46	41	0	0	0	0	0	spoe
G31820	Otterthal	464	370	365	111	122	72	11	19	23	6	1	0	0	0	0	0	0	oevp
G31821	Payerbach	1798	1282	1259	451	253	271	44	108	61	54	10	7	0	0	0	0	0	spoe
G31823	Pitten	2075	1465	1435	451	347	291	30	111	95	80	11	19	0	0	0	0	0	spoe
G31825	Prigglitz	389	298	295	69	111	64	10	17	14	10	0	0	0	0	0	0	0	oevp
G31826	Puchberg am Schneeberg	2227	1634	1601	564	449	285	44	87	99	49	10	14	0	0	0	0	0	spoe
G31827	Raach am Hochgebirge	239	183	178	26	112	18	4	5	5	6	1	1	0	0	0	0	0	oevp
G31829	Reichenau an der Rax	2119	1565	1529	472	374	336	53	116	101	53	11	13	0	0	0	0	0	spoe
G31830	St. Corona am Wechsel	307	222	217	13	127	53	2	11	7	4	0	0	0	0	0	0	0	oevp
G31831	St. Egyden am Steinfeld	1541	1112	1095	311	288	259	32	70	69	48	8	10	0	0	0	0	0	spoe
G31832	Scheiblingkirchen-Thernberg	1551	1188	1164	240	515	199	30	79	48	39	5	9	0	0	0	0	0	oevp
G31833	Schottwien	540	394	385	91	119	103	12	20	19	11	7	3	0	0	0	0	0	oevp
G31834	Schrattenbach	296	235	227	48	84	39	8	17	19	11	1	0	0	0	0	0	0	oevp
G31835	Schwarzau am Steinfeld	1454	1083	1064	416	225	228	30	65	42	39	5	14	0	0	0	0	0	spoe
G31836	Schwarzau im Gebirge	539	410	397	174	92	67	10	18	22	9	4	1	0	0	0	0	0	spoe
G31837	Seebenstein	1123	834	814	277	177	193	21	61	39	35	6	5	0	0	0	0	0	spoe
G31838	Semmering	468	279	274	74	86	67	6	15	14	8	1	3	0	0	0	0	0	oevp
G31839	Ternitz	11681	8396	8223	3721	1042	1959	193	596	369	222	67	54	0	0	0	0	0	spoe
G31840	Thomasberg	1022	800	771	183	314	162	14	31	41	20	4	2	0	0	0	0	0	oevp
G31841	Trattenbach	450	345	339	57	169	79	8	15	7	2	1	1	0	0	0	0	0	oevp
G31842	Bürg-Vöstenhof	142	123	116	27	42	24	4	8	8	3	0	0	0	0	0	0	0	oevp
G31843	Warth	1285	1020	986	218	454	157	25	68	29	31	2	2	0	0	0	0	0	oevp
G31844	Wartmannstetten	1344	1097	1077	241	444	169	36	73	54	49	3	8	0	0	0	0	0	oevp
G31845	Willendorf	768	578	564	159	130	128	18	65	44	13	4	3	0	0	0	0	0	spoe
G31846	Wimpassing im Schwarzatale	1268	902	882	462	84	202	10	66	29	14	14	1	0	0	0	0	0	spoe
G31847	Würflach	1294	1008	989	324	286	179	24	68	57	36	8	7	0	0	0	0	0	spoe
G31848	Zöbern	1180	939	920	152	453	140	57	45	45	16	3	9	0	0	0	0	0	oevp
G31849	Höflein an der Hohen Wand	759	584	578	221	99	122	18	61	27	24	2	4	0	0	0	0	0	spoe
G31901	Altlengbach	2233	1575	1538	404	394	351	60	119	108	70	16	16	0	0	0	0	0	spoe
G31902	Asperhofen	1678	1192	1162	185	429	285	35	94	76	43	5	10	0	0	0	0	0	oevp
G31903	Böheimkirchen	3923	2964	2886	803	869	524	83	303	147	110	16	31	0	0	0	0	0	oevp
G31904	Brand-Laaben	980	707	692	126	242	149	22	63	37	37	6	10	0	0	0	0	0	oevp
G31905	Eichgraben	3386	2393	2339	552	507	428	77	383	133	208	26	25	0	0	0	0	0	spoe
G31906	Frankenfels	1652	1336	1282	324	601	206	27	62	25	23	6	8	0	0	0	0	0	oevp
G31907	Gerersdorf	730	564	550	116	273	66	12	47	23	13	0	0	0	0	0	0	0	oevp
G31909	Hofstetten-Grünau	2110	1676	1625	340	712	279	25	128	72	50	9	10	0	0	0	0	0	oevp
G31910	Hafnerbach	1311	1037	1018	229	423	163	23	108	35	27	7	3	0	0	0	0	0	oevp
G31911	Haunoldstein	847	668	649	174	217	141	8	49	27	22	7	4	0	0	0	0	0	oevp
G31912	Herzogenburg	6051	4570	4470	1792	899	897	89	392	186	153	37	25	0	0	0	0	0	spoe
G31913	Inzersdorf-Getzersdorf	1203	960	945	252	289	218	26	73	49	28	6	4	0	0	0	0	0	oevp
G31915	Kapelln	1117	863	846	137	352	175	34	54	39	40	11	4	0	0	0	0	0	oevp
G31916	Karlstetten	1691	1313	1282	335	406	259	27	126	47	57	18	7	0	0	0	0	0	oevp
G31917	Kasten bei Böheimkirchen	1067	831	811	151	261	158	27	97	51	49	5	12	0	0	0	0	0	oevp
G31918	Kirchberg an der Pielach	2582	1999	1941	416	729	371	51	181	110	60	16	7	0	0	0	0	0	oevp
G31919	Kirchstetten	1674	1157	1129	284	348	208	37	114	63	54	13	8	0	0	0	0	0	oevp
G31920	Loich	495	374	366	103	157	49	10	17	22	4	1	3	0	0	0	0	0	oevp
G31921	Maria-Anzbach	2241	1600	1566	347	445	279	56	243	76	89	19	12	0	0	0	0	0	oevp
G31922	Markersdorf-Haindorf	1635	1228	1213	288	480	238	12	117	36	30	9	3	0	0	0	0	0	oevp
G31923	Michelbach	736	574	553	49	255	107	11	42	31	48	5	5	0	0	0	0	0	oevp
G31925	Neidling	1231	963	940	241	290	165	30	106	49	33	15	11	0	0	0	0	0	oevp
G31926	Neulengbach	6182	4244	4166	936	1149	797	134	526	236	312	41	35	0	0	0	0	0	oevp
G31927	Neustift-Innermanzing	1194	821	807	187	231	175	27	74	39	55	10	9	0	0	0	0	0	oevp
G31928	Nußdorf ob der Traisen	1420	1161	1126	314	382	221	29	80	56	31	6	7	0	0	0	0	0	oevp
G31929	Ober-Grafendorf	3654	2819	2752	992	685	493	66	239	106	132	18	21	0	0	0	0	0	spoe
G31930	Obritzberg-Rust	1824	1453	1415	295	589	232	41	97	78	63	14	6	0	0	0	0	0	oevp
G31932	Prinzersdorf	1269	990	967	286	300	146	34	120	22	40	5	14	0	0	0	0	0	oevp
G31934	Pyhra	2767	2073	2029	385	858	329	61	197	89	73	21	16	0	0	0	0	0	oevp
G31935	Rabenstein an der Pielach	2008	1581	1532	409	564	286	31	106	71	40	17	8	0	0	0	0	0	oevp
G31938	St. Margarethen an der Sierning	867	673	653	112	330	92	11	49	31	20	5	3	0	0	0	0	0	oevp
G31939	Schwarzenbach an der Pielach	327	270	262	65	124	45	5	3	13	6	0	1	0	0	0	0	0	oevp
G31940	Statzendorf	1079	864	848	315	227	149	24	60	35	24	7	7	0	0	0	0	0	spoe
G31941	Stössing	613	441	430	58	206	67	13	37	25	16	4	4	0	0	0	0	0	oevp
G31943	Traismauer	4526	3383	3288	1229	745	664	63	292	136	120	20	19	0	0	0	0	0	spoe
G31945	Weinburg	1087	892	874	373	194	160	25	48	43	22	2	7	0	0	0	0	0	spoe
G31946	Weißenkirchen an der Perschling	1069	812	791	103	358	162	20	50	61	28	5	4	0	0	0	0	0	oevp
G31947	Wilhelmsburg	5137	3684	3599	1291	755	780	93	342	164	107	34	33	0	0	0	0	0	spoe
G31948	Wölbling	1957	1495	1456	480	438	263	32	116	59	45	8	15	0	0	0	0	0	spoe
G31949	Gablitz	3652	2465	2420	586	624	441	58	312	132	229	18	20	0	0	0	0	0	oevp
G31950	Mauerbach	2870	1999	1976	429	529	367	70	263	97	185	20	16	0	0	0	0	0	oevp
G31951	Pressbaum	5280	3588	3521	776	914	699	110	495	175	285	30	37	0	0	0	0	0	oevp
G31952	Purkersdorf	6996	4773	4676	1255	853	784	144	837	197	490	63	53	0	0	0	0	0	spoe
G31953	Tullnerbach	2092	1510	1488	306	404	248	47	214	53	186	13	17	0	0	0	0	0	oevp
G31954	Wolfsgraben	1290	975	965	177	256	198	45	150	48	78	9	4	0	0	0	0	0	oevp
G32001	Gaming	2628	1896	1842	799	432	312	41	102	80	51	13	12	0	0	0	0	0	spoe
G32002	Göstling an der Ybbs	1713	1317	1289	372	503	198	37	76	62	27	8	6	0	0	0	0	0	oevp
G32003	Gresten	1606	1171	1132	326	361	174	41	125	46	39	10	10	0	0	0	0	0	oevp
G32004	Gresten-Land	1216	969	948	133	581	111	24	51	33	10	1	4	0	0	0	0	0	oevp
G32005	Lunz am See	1549	1168	1146	373	380	176	49	63	65	31	6	3	0	0	0	0	0	oevp
G32006	Oberndorf an der Melk	2405	1895	1842	202	1032	336	35	114	70	44	5	4	0	0	0	0	0	oevp
G32007	Puchenstuben	258	182	179	66	69	26	3	5	4	3	3	0	0	0	0	0	0	oevp
G32008	Purgstall an der Erlauf	4303	3172	3082	607	1260	575	88	284	158	79	18	13	0	0	0	0	0	oevp
G32009	Randegg	1554	1232	1197	157	672	171	19	90	43	30	4	11	0	0	0	0	0	oevp
G32010	Reinsberg	823	677	643	83	347	120	11	43	19	12	5	3	0	0	0	0	0	oevp
G32011	St. Anton an der Jeßnitz	1013	765	741	128	399	99	26	30	37	14	5	3	0	0	0	0	0	oevp
G32012	St. Georgen an der Leys	1099	859	819	91	453	184	24	31	20	4	5	7	0	0	0	0	0	oevp
G32013	Scheibbs	3507	2566	2484	621	906	324	72	330	99	96	18	18	0	0	0	0	0	oevp
G32014	Steinakirchen am Forst	1892	1482	1441	201	717	221	40	145	53	42	10	12	0	0	0	0	0	oevp
G32015	Wang	1050	845	820	127	409	161	18	48	29	19	3	6	0	0	0	0	0	oevp
G32016	Wieselburg	2937	2112	2074	771	426	414	66	233	73	65	6	20	0	0	0	0	0	spoe
G32017	Wieselburg-Land	2642	2034	1982	443	758	395	66	140	102	59	10	9	0	0	0	0	0	oevp
G32018	Wolfpassing	1186	948	940	115	473	161	36	96	32	24	2	1	0	0	0	0	0	oevp
G32101	Absdorf	1445	1098	1066	336	359	159	17	96	50	42	3	4	0	0	0	0	0	oevp
G32104	Atzenbrugg	2198	1649	1599	321	633	331	38	129	62	61	9	15	0	0	0	0	0	oevp
G32106	Fels am Wagram	1715	1282	1254	377	388	266	38	76	56	44	5	4	0	0	0	0	0	oevp
G32107	Grafenwörth	2504	1866	1820	543	588	354	44	116	85	68	10	12	0	0	0	0	0	oevp
G32109	Großriedenthal	810	647	629	142	309	94	14	27	21	18	4	0	0	0	0	0	0	oevp
G32110	Großweikersdorf	2522	1895	1836	463	612	423	42	150	79	51	6	10	0	0	0	0	0	oevp
G32112	Judenau-Baumgarten	1624	1256	1232	281	408	246	29	130	66	54	9	9	0	0	0	0	0	oevp
G32114	Kirchberg am Wagram	2800	2213	2175	567	775	370	62	199	89	88	15	10	0	0	0	0	0	oevp
G32115	Königsbrunn am Wagram	1066	813	791	249	279	120	21	44	39	31	5	3	0	0	0	0	0	oevp
G32116	Königstetten	1652	1219	1192	302	369	238	35	129	34	68	7	10	0	0	0	0	0	oevp
G32119	Langenrohr	1752	1363	1335	250	503	308	34	102	59	59	11	9	0	0	0	0	0	oevp
G32120	Michelhausen	2118	1556	1511	283	677	251	43	107	69	62	7	12	0	0	0	0	0	oevp
G32131	Sieghartskirchen	5611	4094	3980	921	1198	903	145	323	230	190	32	38	0	0	0	0	0	oevp
G32132	Sitzenberg-Reidling	1624	1289	1253	313	454	234	39	111	48	43	4	7	0	0	0	0	0	oevp
G32134	Tulbing	2359	1761	1730	412	566	316	68	173	68	97	17	13	0	0	0	0	0	oevp
G32135	Tulln an der Donau	11637	8194	8010	1932	2338	1450	243	1071	378	475	65	58	0	0	0	0	0	oevp
G32139	Würmla	1044	789	770	104	332	159	19	74	43	30	7	2	0	0	0	0	0	oevp
G32140	Zeiselmauer-Wolfpassing	1762	1261	1239	374	276	219	34	173	55	83	12	13	0	0	0	0	0	spoe
G32141	Zwentendorf an der Donau	3003	2220	2177	778	561	447	57	135	94	65	27	13	0	0	0	0	0	spoe
G32142	St. Andrä-Wördern	5886	4193	4122	1091	870	763	131	692	228	284	27	36	0	0	0	0	0	spoe
G32143	Muckendorf-Wipfing	1082	771	758	211	179	169	22	82	50	36	6	3	0	0	0	0	0	spoe
G32144	Klosterneuburg	19812	13786	13577	2394	4210	1789	454	2274	563	1647	128	118	0	0	0	0	0	oevp
G32202	Dietmanns	967	659	639	270	93	187	7	24	35	14	6	3	0	0	0	0	0	spoe
G32203	Dobersberg	1405	1058	1020	142	541	190	21	51	43	24	4	4	0	0	0	0	0	oevp
G32206	Gastern	1079	791	769	177	336	135	10	31	60	12	6	2	0	0	0	0	0	oevp
G32207	Groß-Siegharts	2375	1607	1571	566	465	296	30	91	77	30	10	6	0	0	0	0	0	spoe
G32209	Karlstein an der Thaya	1278	938	904	186	401	171	23	49	48	20	3	3	0	0	0	0	0	oevp
G32210	Kautzen	1017	779	755	145	325	153	12	33	43	26	11	7	0	0	0	0	0	oevp
G32212	Ludweis-Aigen	819	579	557	112	303	69	5	36	13	10	2	7	0	0	0	0	0	oevp
G32214	Pfaffenschlag bei Waidhofen a.d.Thaya	789	602	585	89	272	146	10	29	22	15	2	0	0	0	0	0	0	oevp
G32216	Raabs an der Thaya	2391	1673	1622	290	844	247	35	86	72	37	4	7	0	0	0	0	0	oevp
G32217	Thaya	1200	863	846	155	402	182	10	43	33	15	3	3	0	0	0	0	0	oevp
G32219	Vitis	2205	1649	1584	389	731	209	38	90	84	34	4	5	0	0	0	0	0	oevp
G32220	Waidhofen an der Thaya	4799	3279	3185	633	1211	626	101	326	134	109	25	20	0	0	0	0	0	oevp
G32221	Waidhofen an der Thaya-Land	1015	737	720	108	338	141	25	49	36	19	1	3	0	0	0	0	0	oevp
G32222	Waldkirchen an der Thaya	488	373	369	72	201	54	3	14	15	6	4	0	0	0	0	0	0	oevp
G32223	Windigsteig	848	637	625	149	277	103	10	39	23	15	5	4	0	0	0	0	0	oevp
G32301	Bad Fischau-Brunn	2442	1750	1721	457	420	349	54	229	72	112	14	14	0	0	0	0	0	spoe
G32302	Bad Schönau	602	468	460	73	193	103	27	17	32	8	3	4	0	0	0	0	0	oevp
G32304	Ebenfurth	2094	1410	1377	645	162	324	25	92	65	48	11	5	0	0	0	0	0	spoe
G32305	Eggendorf	3536	2549	2512	936	343	770	56	125	160	95	16	11	0	0	0	0	0	spoe
G32306	Bad Erlach	2334	1735	1710	395	678	346	52	92	89	42	11	5	0	0	0	0	0	oevp
G32307	Felixdorf	3229	2308	2264	909	375	508	53	179	125	85	13	17	0	0	0	0	0	spoe
G32308	Gutenstein	1043	720	699	186	270	122	19	51	30	14	2	5	0	0	0	0	0	oevp
G32309	Hochneukirchen-Gschaidt	1388	1096	1075	148	586	207	15	39	43	25	7	5	0	0	0	0	0	oevp
G32310	Hochwolkersdorf	840	674	657	220	235	123	7	35	22	10	1	4	0	0	0	0	0	oevp
G32311	Hohe Wand	1134	852	827	170	318	157	22	74	52	22	9	3	0	0	0	0	0	oevp
G32312	Hollenthon	857	706	692	127	332	135	27	30	23	17	0	1	0	0	0	0	0	oevp
G32313	Katzelsdorf	2491	1920	1877	430	469	380	74	246	127	123	16	12	0	0	0	0	0	oevp
G32314	Kirchschlag in der Buckligen Welt	2361	1846	1785	260	880	340	59	95	75	57	9	10	0	0	0	0	0	oevp
G32315	Krumbach	1886	1494	1446	235	621	293	49	98	101	35	6	8	0	0	0	0	0	oevp
G32316	Lanzenkirchen	3032	2268	2220	706	535	550	52	154	103	81	18	21	0	0	0	0	0	spoe
G32317	Lichtenegg	871	701	673	50	396	108	10	48	34	18	1	8	0	0	0	0	0	oevp
G32318	Lichtenwörth	2227	1596	1573	516	313	394	42	142	95	55	8	8	0	0	0	0	0	spoe
G32319	Markt Piesting	2188	1627	1589	343	506	343	45	175	76	79	14	8	0	0	0	0	0	oevp
G32320	Matzendorf-Hölles	1566	1208	1185	312	374	268	32	60	90	31	7	11	0	0	0	0	0	oevp
G32321	Miesenbach	567	436	428	89	181	76	23	22	24	9	2	2	0	0	0	0	0	oevp
G32322	Muggendorf	402	332	316	60	130	61	12	18	19	8	6	2	0	0	0	0	0	oevp
G32323	Pernitz	1992	1431	1393	440	305	324	52	127	70	52	7	16	0	0	0	0	0	spoe
G32324	Rohr im Gebirge	383	296	287	56	108	57	11	17	23	12	2	1	0	0	0	0	0	oevp
G32325	Bromberg	985	810	783	130	367	147	20	50	35	29	2	3	0	0	0	0	0	oevp
G32326	Schwarzenbach	844	713	703	301	210	138	13	14	15	10	0	2	0	0	0	0	0	spoe
