gkz	name	wahlberechtigte	abgegeben	gueltig	spoe	oevp	fpoe	bzoe	gruene	frank	neos	kpoe	pirat	cpoe	wandl	m	euaus	slp	winner
G30621	Mitterndorf an der Fischa	1605	1073	1055	403	143	311	27	65	64	30	6	6	0	0	0	0	0	spoe
G30623	Oberwaltersdorf	3079	2171	2142	615	425	406	56	208	255	141	22	14	0	0	0	0	0	spoe
G30625	Pfaffstätten	2603	1977	1942	416	550	314	47	326	84	172	19	14	0	0	0	0	0	oevp
G30626	Pottendorf	5035	3483	3419	1203	579	928	84	240	225	96	35	29	0	0	0	0	0	spoe
G30627	Pottenstein	2203	1566	1530	521	332	312	33	152	94	56	15	15	0	0	0	0	0	spoe
G30629	Reisenberg	1253	990	968	408	188	200	21	36	75	31	5	4	0	0	0	0	0	spoe
G30631	Schönau an der Triesting	1616	1153	1132	380	232	264	28	108	71	36	6	7	0	0	0	0	0	spoe
G30633	Seibersdorf	1138	870	853	192	285	205	20	43	65	32	2	9	0	0	0	0	0	oevp
G30635	Sooß	808	603	587	118	176	103	30	66	50	38	2	4	0	0	0	0	0	oevp
G30636	Tattendorf	1033	802	788	243	191	176	21	71	48	29	4	5	0	0	0	0	0	spoe
G30637	Teesdorf	1319	1034	1019	434	202	181	19	79	53	34	6	11	0	0	0	0	0	spoe
G30639	Traiskirchen	12740	9472	9296	3325	1246	2275	327	841	623	481	92	86	0	0	0	0	0	spoe
G30641	Trumau	2533	1920	1890	803	218	445	47	154	112	82	8	21	0	0	0	0	0	spoe
G30645	Weissenbach an der Triesting	1314	980	962	319	216	209	34	77	59	36	4	8	0	0	0	0	0	spoe
G30646	Blumau-Neurißhof	1348	956	936	297	118	294	35	75	63	33	6	15	0	0	0	0	0	spoe
G30701	Au am Leithaberge	779	589	578	111	200	160	14	28	43	13	5	4	0	0	0	0	0	oevp
G30702	Bad Deutsch-Altenburg	1129	779	773	232	163	211	60	42	36	19	4	6	0	0	0	0	0	spoe
G30703	Berg	519	415	406	173	122	81	5	10	12	2	0	1	0	0	0	0	0	spoe
G30704	Bruck an der Leitha	5976	4114	4022	1469	806	850	85	385	197	174	31	25	0	0	0	0	0	spoe
